seed,scenario_family,decision_date,budget,latency_days,theta,high_risk_threshold,top_share,base_policy_value,base_stale_regret,base_relative_loss,base_target_overlap,base_missed_at_risk,base_window_miss_rate,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
41,complaint-heavy,2025-04-02,11530000,1,0.1,0.8,0.15,101053232.200834,157372.439672,0.001555,0.874937,0.121348,0.0,100954523.473407,256081.167099,-0.62723,0.99747,0.053683
41,complaint-heavy,2025-04-02,11530000,1,0.15,0.8,0.15,101053232.200834,157372.439672,0.001555,0.874937,0.121348,0.0,101046080.415544,164524.224962,-0.045445,0.998374,0.031483
41,complaint-heavy,2025-04-02,2640000,3,0.05,0.8,0.15,54182392.808897,-1204279.547592,-0.022732,0.878261,0.170213,0.003012,51835579.154235,1142534.10707,-1.948728,0.978434,0.133602
41,complaint-heavy,2025-04-02,2640000,3,0.1,0.8,0.15,54182392.808897,-1204279.547592,-0.022732,0.878261,0.170213,0.003012,52208180.191436,769933.069869,-1.639331,0.985467,0.056105
41,complaint-heavy,2025-04-02,2640000,3,0.15,0.8,0.15,54182392.808897,-1204279.547592,-0.022732,0.878261,0.170213,0.003012,53197382.427056,-219269.165751,-0.817925,1.004139,0.033502
41,complaint-heavy,2025-04-02,7250000,3,0.05,0.8,0.15,90135961.120906,-22661.198777,-0.000251,0.821773,0.236953,0.000908,89472763.028287,640536.893842,-29.265799,0.992892,0.133602
41,complaint-heavy,2025-04-02,7250000,3,0.1,0.8,0.15,90135961.120906,-22661.198777,-0.000251,0.821773,0.236953,0.000908,89966786.11427,146513.807859,-7.465404,0.998374,0.056105
41,complaint-heavy,2025-04-02,7250000,3,0.15,0.8,0.15,90135961.120906,-22661.198777,-0.000251,0.821773,0.236953,0.000908,90018961.501261,94338.420868,-5.162993,0.998953,0.033502
41,complaint-heavy,2025-04-02,11530000,3,0.05,0.8,0.15,100515826.991751,694777.648755,0.006865,0.865433,0.133708,0.000499,100358771.594405,851833.046101,-0.226051,0.991584,0.133602
41,complaint-heavy,2025-04-02,11530000,3,0.1,0.8,0.15,100515826.991751,694777.648755,0.006865,0.865433,0.133708,0.000499,100501412.063514,709192.576992,-0.020748,0.992993,0.056105
41,complaint-heavy,2025-04-02,11530000,3,0.15,0.8,0.15,100515826.991751,694777.648755,0.006865,0.865433,0.133708,0.000499,100542920.3294,667684.311106,0.038996,0.993403,0.033502
41,complaint-heavy,2025-04-02,2640000,7,0.05,0.8,0.15,54351728.524973,-1373615.263668,-0.025928,0.878261,0.170213,0.039157,51485489.020333,1492624.240972,-2.086639,0.971826,0.125328
41,complaint-heavy,2025-04-02,2640000,7,0.1,0.8,0.15,54351728.524973,-1373615.263668,-0.025928,0.878261,0.170213,0.039157,51903277.774573,1074835.486732,-1.782487,0.979712,0.058729
41,complaint-heavy,2025-04-02,2640000,7,0.15,0.8,0.15,54351728.524973,-1373615.263668,-0.025928,0.878261,0.170213,0.039157,53372715.492919,-394602.231614,-0.712727,1.007448,0.033502
41,complaint-heavy,2025-04-02,7250000,7,0.05,0.8,0.15,89338793.033566,774506.888563,0.008595,0.811238,0.234133,0.011484,89157391.75842,955908.163709,-0.234215,0.989392,0.125328
41,complaint-heavy,2025-04-02,7250000,7,0.1,0.8,0.15,89338793.033566,774506.888563,0.008595,0.811238,0.234133,0.011484,89344239.905521,769060.016608,0.007033,0.991466,0.058729
41,complaint-heavy,2025-04-02,7250000,7,0.15,0.8,0.15,89338793.033566,774506.888563,0.008595,0.811238,0.234133,0.011484,89298620.830296,814679.091833,-0.051868,0.990959,0.033502
41,complaint-heavy,2025-04-02,11530000,7,0.05,0.8,0.15,99512785.537426,1697819.10308,0.016775,0.846923,0.141573,0.006357,99690112.558745,1520492.081761,0.104444,0.984977,0.125328
41,complaint-heavy,2025-04-02,11530000,7,0.1,0.8,0.15,99512785.537426,1697819.10308,0.016775,0.846923,0.141573,0.006357,99582447.121049,1628157.519457,0.04103,0.983913,0.058729
